["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(302, 3)
1.8737028625000000e+14 4.1177353514299875e-03 1.9446747332997520e+00
1.8741206334838350e+14 4.0489102459618431e-03 1.9876971648571922e+00
1.8745384044676700e+14 3.9798478292153707e-03 2.0325339884224811e+00
1.8749561754515050e+14 3.9109011334970984e-03 2.0793031766902179e+00
1.8753739464353400e+14 3.8424724165365435e-03 2.1281266273803885e+00
1.8757917174191750e+14 3.7750178555290520e-03 2.1791282130005993e+00
1.8762094884030100e+14 3.7090521061033661e-03 2.2324310255163615e+00
1.8766272593868450e+14 3.6451524363988559e-03 2.2881536431922940e+00
1.8770450303706800e+14 3.5839620402721177e-03 2.3464052550309180e+00
1.8774628013545150e+14 3.5261920140935315e-03 2.4072795161501075e+00
1.8778805723383500e+14 3.4726213600218062e-03 2.4708470895180681e+00
1.8782983433221850e+14 3.4240942758162946e-03 2.5371469703612060e+00
1.8787161143060200e+14 3.3815139391840496e-03 2.6061768994166896e+00
1.8791338852898550e+14 3.3458320360389348e-03 2.6778834478403972e+00
1.8795516562736900e+14 3.3180334646582973e-03 2.7521526753365175e+00
1.8799694272575250e+14 3.2991160120172621e-03 2.8288025679616884e+00
1.8803871982413600e+14 3.2900653574269808e-03 2.9075786635580960e+00
1.8808049692251950e+14 3.2918264743047616e-03 2.9881542616099255e+00
1.8812227402090300e+14 3.3052732680229550e-03 3.0701362947420483e+00
1.8816405111928650e+14 3.3311789380015815e-03 3.1530772784492833e+00
1.8820582821767000e+14 3.3701898899063049e-03 3.2364928292663997e+00
1.8824760531605350e+14 3.4228058923320547e-03 3.3198832437332486e+00
1.8828938241443700e+14 3.4893685245671068e-03 3.4027568280928668e+00
1.8833115951282050e+14 3.5700589020102856e-03 3.4846523053235585e+00
1.8837293661120400e+14 3.6649044279567088e-03 3.5651578188704791e+00
1.8841471370958750e+14 3.7737931924776446e-03 3.6439247387237934e+00
1.8845649080797100e+14 3.8964938601549200e-03 3.7206754417502275e+00
1.8849826790635450e+14 4.0326785747711348e-03 3.7952052129137672e+00
1.8854004500473800e+14 4.1819465370555907e-03 3.8673791723198119e+00
1.8858182210312150e+14 4.3438463550204698e-03 3.9371255608210434e+00
1.8862359920150500e+14 4.5178958600777886e-03 4.0044268167780022e+00
1.8866537629988853e+14 4.7035986784590327e-03 4.0693097299953971e+00
1.8870715339827203e+14 4.9004573483354477e-03 4.1318356754861805e+00
1.8874893049665553e+14 5.1079831346379813e-03 4.1920916076336603e+00
1.8879070759503903e+14 5.3257029145603613e-03 4.2501822014217279e+00
1.8883248469342253e+14 5.5531636106422120e-03 4.3062232954434805e+00
1.8887426179180603e+14 5.7899346677783483e-03 4.3603366294849861e+00
1.8891603889018953e+14 6.0356090369890524e-03 4.4126457703748896e+00
1.8895781598857303e+14 6.2898030677578029e-03 4.4632730696060490e+00
1.8899959308695653e+14 6.5521556399344991e-03 4.5123374801255745e+00
1.8904137018534003e+14 6.8223267967981345e-03 4.5599530648898483e+00
1.8908314728372353e+14 7.0999960788479949e-03 4.6062280466193570e+00
1.8912492438210703e+14 7.3848607056630038e-03 4.6512642700101523e+00
1.8916670148049053e+14 7.6766337111107141e-03 4.6951569703079148e+00
1.8920847857887403e+14 7.9750421044450792e-03 4.7379947632867907e+00
1.8925025567725753e+14 8.2798251050215967e-03 4.7798597901771300e+00
1.8929203277564103e+14 8.5907324800884467e-03 4.8208279666114997e+00
1.8933380987402453e+14 8.9075230019229033e-03 4.8609692972794054e+00
1.8937558697240803e+14 9.2299630313462926e-03 4.9003482280070667e+00
1.8941736407079153e+14 9.5578252283853391e-03 4.9390240147889637e+00
1.8945914116917503e+14 9.8908873866549157e-03 4.9770510952826843e+00
1.8950091826755853e+14 1.0228931385561805e-02 5.0144794528052286e+00
1.8954269536594203e+14 1.0571742252895890e-02 5.0513549662390655e+00
1.8958447246432553e+14 1.0919107329759089e-02 5.0877197417380824e+00
1.8962624956270903e+14 1.1270815529552189e-02 5.1236124239203793e+00
1.8966802666109253e+14 1.1626656682974681e-02 5.1590684855121021e+00
1.8970980375947603e+14 1.1986420961327134e-02 5.1941204953063664e+00
1.8975158085785953e+14 1.2349898370932312e-02 5.2287983648990011e+00
1.8979335795624303e+14 1.2716878312063086e-02 5.2631295750676887e+00
1.8983513505462653e+14 1.3087149196326036e-02 5.2971393828960167e+00
1.8987691215301003e+14 1.3460498117048714e-02 5.3308510108836105e+00
1.8991868925139353e+14 1.3836710567741238e-02 5.3642858193358736e+00
1.8996046634977703e+14 1.4215570204228714e-02 5.3974634633324925e+00
1.9000224344816053e+14 1.4596858646529964e-02 5.4304020355386822e+00
1.9004402054654403e+14 1.4980355316957596e-02 5.4631181960706456e+00
1.9008579764492753e+14 1.5365837311340533e-02 5.4956272905540251e+00
1.9012757474331103e+14 1.5753079300576449e-02 5.5279434574387274e+00
1.9016935184169453e+14 1.6141853460066562e-02 5.5600797255542558e+00
1.9021112894007803e+14 1.6531929424825551e-02 5.5920481028091489e+00
1.9025290603846153e+14 1.6923074268334549e-02 5.6238596568611827e+00
1.9029468313684503e+14 1.7315052503390611e-02 5.6555245885132370e+00
1.9033646023522853e+14 1.7707626103404706e-02 5.6870522985190286e+00
1.9037823733361203e+14 1.8100554542774778e-02 5.7184514484195859e+00
1.9042001443199553e+14 1.8493594855085747e-02 5.7497300159736735e+00
1.9046179153037903e+14 1.8886501708026682e-02 5.7808953456884389e+00
1.9050356862876253e+14 1.9279027494020069e-02 5.8119541949110411e+00
1.9054534572714603e+14 1.9670922435655644e-02 5.8429127758939590e+00
1.9058712282552953e+14 2.0061934705105533e-02 5.8737767942072363e+00
1.9062889992391303e+14 2.0451810556756687e-02 5.9045514838357969e+00
1.9067067702229653e+14 2.0840294472382604e-02 5.9352416392637348e+00
1.9071245412068003e+14 2.1227129318197788e-02 5.9658516448205665e+00
1.9075423121906353e+14 2.1612056513208952e-02 5.9963855015360972e+00
1.9079600831744703e+14 2.1994816208310463e-02 6.0268468517264937e+00
1.9083778541583053e+14 2.2375147475580694e-02 6.0572390015125723e+00
1.9087956251421403e+14 2.2752788507296576e-02 6.0875649414525039e+00
1.9092133961259753e+14 2.3127476824192729e-02 6.1178273654520643e+00
1.9096311671098103e+14 2.3498949492485221e-02 6.1480286881007622e+00
1.9100489380936453e+14 2.3866943349235042e-02 6.1781710605687854e+00
1.9104667090774803e+14 2.4231195235610809e-02 6.2082563851844066e+00
1.9108844800613153e+14 2.4591442237618565e-02 6.2382863288028965e+00
1.9113022510451506e+14 2.4947421933879492e-02 6.2682623350658444e+00
1.9117200220289856e+14 2.5298872650040334e-02 6.2981856356404951e+00
1.9121377930128206e+14 2.5645533719396593e-02 6.3280572605217928e+00
1.9125555639966556e+14 2.5987145749300593e-02 6.3578780474700887e+00
1.9129733349804906e+14 2.6323450892940449e-02 6.3876486506525358e+00
1.9133911059643256e+14 2.6654193126062320e-02 6.4173695485487370e+00
1.9138088769481606e+14 2.6979118528201906e-02 6.4470410511761820e+00
1.9142266479319956e+14 2.7297975567981553e-02 6.4766633066860901e+00
1.9146444189158306e+14 2.7610515392043143e-02 6.5062363073749330e+00
1.9150621898996656e+14 2.7916492117147505e-02 6.5357598951534683e+00
1.9154799608835006e+14 2.8215663124982786e-02 6.5652337665110538e+00
1.9158977318673356e+14 2.8507789359226696e-02 6.5946574770096538e+00
1.9163155028511706e+14 2.8792635624351307e-02 6.6240304453378611e+00
1.9167332738350056e+14 2.9069970885735156e-02 6.6533519569547837e+00
1.9171510448188406e+14 2.9339568570522747e-02 6.6826211673474480e+00
1.9175688158026756e+14 2.9601206868785680e-02 6.7118371049265635e+00
1.9179865867865106e+14 2.9854669034437915e-02 6.7409986735803828e+00
1.9184043577703456e+14 3.0099743685399936e-02 6.7701046549062704e+00
1.9188221287541806e+14 3.0336225102484623e-02 6.7991537101366015e+00
1.9192398997380156e+14 3.0563913526476093e-02 6.8281443817741421e+00
1.9196576707218506e+14 3.0782615452854240e-02 6.8570750949508570e+00
1.9200754417056856e+14 3.0992143923647315e-02 6.8859441585215375e+00
1.9204932126895206e+14 3.1192318815852726e-02 6.9147497659035908e+00
1.9209109836733556e+14 3.1382967125892350e-02 6.9434899956714968e+00
1.9213287546571906e+14 3.1563923249567964e-02 6.9721628119147310e+00
1.9217465256410256e+14 3.1735029256965530e-02 7.0007660643650791e+00
1.9221642966248606e+14 3.1896135161791316e-02 7.0292974882999149e+00
1.9225820676086956e+14 3.2047099184603155e-02 7.0577547042254318e+00
1.9229998385925306e+14 3.2187788009427107e-02 7.0861352173436831e+00
1.9234176095763656e+14 3.2318077033252887e-02 7.1144364168062504e+00
1.9238353805602006e+14 3.2437850607912037e-02 7.1426555747558460e+00
1.9242531515440356e+14 3.2547002273869891e-02 7.1707898451573318e+00
1.9246709225278706e+14 3.2645434985472975e-02 7.1988362624175997e+00
1.9250886935117056e+14 3.2733061327204979e-02 7.2267917397938621e+00
1.9255064644955406e+14 3.2809803720567070e-02 7.2546530675891630e+00
1.9259242354793756e+14 3.2875594621154691e-02 7.2824169111320227e+00
1.9263420064632106e+14 3.2930376705619123e-02 7.3100798085384966e+00
1.9267597774470456e+14 3.2974103048155477e-02 7.3376381682521066e+00
1.9271775484308806e+14 3.3006737286246673e-02 7.3650882663584278e+00
1.9275953194147156e+14 3.3028253775393097e-02 7.3924262436691111e+00
1.9280130903985506e+14 3.3038637732634435e-02 7.4196481025707817e+00
1.9284308613823856e+14 3.3037885368669660e-02 7.4467497036332055e+00
1.9288486323662206e+14 3.3026004008470840e-02 7.4737267619709638e+00
1.9292664033500556e+14 3.3003012200275676e-02 7.5005748433528119e+00
1.9296841743338906e+14 3.2968939812970721e-02 7.5272893600526878e+00
1.9301019453177256e+14 3.2923828121839249e-02 7.5538655664362162e+00
1.9305197163015606e+14 3.2867729882767295e-02 7.5802985542770598e+00
1.9309374872853956e+14 3.2800709395027376e-02 7.6065832477972322e+00
1.9313552582692306e+14 3.2722842552798490e-02 7.6327143984266916e+00
1.9317730292530656e+14 3.2634216885687128e-02 7.6586865792773366e+00
1.9321908002369006e+14 3.2534931588497337e-02 7.6844941793287926e+00
1.9326085712207356e+14 3.2425097540620007e-02 7.7101313973229040e+00
1.9330263422045706e+14 3.2304837315426820e-02 7.7355922353672533e+00
1.9334441131884056e+14 3.2174285180120249e-02 7.7608704922485057e+00
1.9338618841722406e+14 3.2033587086552434e-02 7.7859597564598388e+00
1.9342796551560756e+14 3.1882900653555347e-02 7.8108533989488382e+00
1.9346974261399106e+14 3.1722395141401571e-02 7.8355445655966616e+00
1.9351151971237456e+14 3.1552251419037773e-02 7.8600261694422926e+00
1.9355329681075806e+14 3.1372661924782011e-02 7.8842908826717508e+00
1.9359507390914156e+14 3.1183830621226594e-02 7.9083311283973270e+00
1.9359660086208747e+14 3.1176756504890869e-02 7.9092054473697324e+00
1.9363532405457916e+14 3.0993360705737980e-02 7.9312730347060185e+00
1.9363685100752506e+14 3.0985972636883127e-02 7.9321390291991900e+00
1.9367862810590856e+14 3.0779314770107157e-02 7.9557064827370079e+00
1.9372040520429209e+14 3.0564095530530036e-02 7.9790251562986345e+00
1.9376218230267559e+14 3.0340564441033363e-02 8.0020863914537657e+00
1.9380395940105909e+14 3.0108982263812104e-02 8.0248812378676604e+00
1.9384573649944259e+14 2.9869620937023528e-02 8.0474004448206173e+00
1.9388751359782609e+14 2.9622763511176334e-02 8.0696344529599653e+00
1.9392929069620959e+14 2.9368704085962465e-02 8.0915733864065711e+00
1.9397106779459309e+14 2.9107747748203936e-02 8.1132070453573419e+00
1.9401284489297659e+14 2.8840210511483791e-02 8.1345248993509980e+00
1.9405462199136009e+14 2.8566419257921621e-02 8.1555160813897842e+00
1.9409639908974359e+14 2.8286711682413600e-02 8.1761693831416302e+00
1.9413817618812709e+14 2.8001436239502433e-02 8.1964732514801444e+00
1.9417995328651059e+14 2.7710952092827156e-02 8.2164157866586507e+00
1.9422173038489409e+14 2.7415629066842136e-02 8.2359847424559440e+00
1.9426350748327759e+14 2.7115847600239457e-02 8.2551675286785908e+00
